name,album,album_id,artist,artist_id,id,popularity,duration_ms,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Nate's Theme 2.0,Uncharted 2: Among Thieves (Original Video Game Soundtrack),7AeuCduXts5efoVLam7dUk,Greg Edmonson,2O0YGVBPONB6lPJYxb0q3w,2xJCwA0WygA4INcY2tMQ5g,46.0,105515.0,0.044,0.402,1.0,0.12,7.0,0.294,-14.639,0.245,0.927,0.395,127.025
Opening​~​Bombing Mission (Final Fantasy VII),Distant Worlds: Music from Final Fantasy,04uEX0wzsnA5UcaEtxcbal,Nobuo Uematsu,3V79CTgRnsDdJSTqKitROv,0hEExwWtYKCAKdUXRCZ4JV,47.0,243293.0,0.0512,0.246,0.0,0.316,9.0,0.158,-9.295,0.759,0.941,0.575,64.305
Halo,Halo: Original Soundtrack,6GSXmRwERX2erR5xuLTajj,Martin O'Donnell,5oERdzrfb6kmNMzPNINZib,0htrx26DcVDcyXErXyJsTo,4.0,262160.0,0.0444,0.0374,1.0,0.0976,0.0,0.312,-14.271,0.255,0.884,0.419,96.134
Pokémon®,Level 3,2KHrrZCAkI8HOIJpOqLzET,Video Games Live,6dZAVi5PugDwlAnH8KMEGl,74RXECEEdc945gowRY4ebj,50.0,254747.0,0.0446,0.255,1.0,0.155,10.0,0.307,-8.468,0.243,0.922,0.635,106.927
God of War,God of War (PlayStation Soundtrack),3AieuV7WztobSMYG86Hdez,Bear McCreary,2ifvIECHAlEgPMBuBOJ0lG,6ZMwwuUOx8kefl32gWOjtY,60.0,246626.0,0.0357,0.144,1.0,0.102,8.0,0.202,-10.112,0.291,0.94,0.44,143.847
Crash Bandicoot Main Theme,Music from Crash Bandicoot N. Sane Trilogy,2erZbQwABnyWVwQ8FK0UAb,Vicarious Visions Audio,57McP1QXbAqhD2M1oQICzB,73gyiXLAKUUtX8sAiE2gGV,44.0,48630.0,0.0555,0.584,0.0,0.106,5.0,0.74,-8.327,0.311,0.801,0.963,152.496
Dragonborn,The Elder Scrolls V: Skyrim: Original Game Soundtrack,25r7pEf31viAbsoVHC6bQ4,Jeremy Soule,77yY2QmM6bYvjJ3y5L2R0v,2gaZJDgE71VL9PzzUUlpMg,60.0,235636.0,0.0539,0.13,0.0,0.111,11.0,0.413,-13.311,0.895,0.685,0.482,66.766
Super Mario Bros: Theme,The Greatest Video Game Music,3bBCofH4VxHokZ6fRCgbGx,Koji Kondo,1CRvJnCbPjgx0xmBdoex0c,5sDx7tlKik6y6k2wfCnrxL,45.0,252095.0,0.0433,0.297,1.0,0.0948,0.0,0.277,-14.339,0.908,0.703,0.281,167.51
Finding the Pattern,Everybody's Gone to the Rapture (Original Soundtrack),0gmge9DFfEc5VSi87yiXyM,Jessica Curry,7maqsg42XWKV2TOwesH5YF,4u2qyRFTBYm3Se02t0Ki7d,42.0,240120.0,0.0449,0.0383,1.0,0.124,5.0,0.146,-16.92,0.808,0.648,0.154,143.625
Legend of Zelda: Suite,The Greatest Video Game Music,3bBCofH4VxHokZ6fRCgbGx,Koji Kondo,1CRvJnCbPjgx0xmBdoex0c,5VuHhNAOSsCxF6ltddkEUm,47.0,261168.0,0.0381,0.0586,0.0,0.0884,7.0,0.221,-11.84,0.837,0.812,0.368,107.637
Nascence,Journey (Original Video Game Soundtrack),0ndOKj9ShVUgDc2UiR8b2M,Austin Wintory,3Rwlus4QnnBSnTe8pJV0rw,6zcP5A5Xv6bvCUpwXrswKa,55.0,106960.0,0.0418,0.0374,0.0,0.126,11.0,0.203,-18.029,0.936,0.935,0.112,72.483
Demacia Rising,The Music of League of Legends Vol. 1,4pg51OJaG6MGlpRFxWWLpr,League of Legends,47mIJdHORyRerp4os813jD,6Q6G9OIyiehtUDmSOGCLCF,50.0,247666.0,0.045,0.0388,0.0,0.098,9.0,0.111,-11.836,0.758,0.922,0.501,81.174
Legion of Dawn,Anthem (Original Soundtrack),6Dh6CBAsa6sDFKAeFfbGlU,Sarah Schachner,692KvxElsJHIJQCS6Eoc32,4fFXTt4Lb1SVVQucRgA2Pg,42.0,226746.0,0.0391,0.0595,0.0,0.0877,2.0,0.16,-17.189,0.716,0.937,0.22,62.564
Overture: Lore,The Last Guardian Soundtrack (Japan Deluxe Edition),4cTewzrku9xOpNPXOZ4jVo,Takeshi Furukawa,1nmiCVZ0sfOQm43MGc9wr5,3ITCrEvmcuQOnmy4g1TZY5,35.0,186733.0,0.0388,0.0353,1.0,0.0861,6.0,0.177,-25.262,0.854,0.906,0.0699,85.188
Plague Tale,A Plague Tale: Innocence (Original Soundtrack),2wD6ibumlAybToO5Mpy9pK,Olivier Deriviere,2CXwRGFTYdcEAI44NT7qDR,6M8tbJM72TgAKXcxXTgtxQ,36.0,136093.0,0.0392,0.0659,0.0,0.125,7.0,0.0689,-18.538,0.729,0.481,0.108,75.713
First Steps,Celeste (Original Soundtrack),5OZHQ7KG8k04IOkF50fACO,Lena Raine,3Ww8GMbCDMAGwJJ2hd7z7z,03EyMyy76ZYLUh3lvGrNgE,48.0,218708.0,0.0259,0.0884,1.0,0.158,0.0,0.546,-7.874,0.379,0.0579,0.635,90.011
Ash,Concrete Genie (Original Soundtrack),0rULbExFiSqcH1PrsZNfap,Sam Marshall,4NsihZ0Z3B9rZop5mvhAYW,0fBV29NgodV4RWnhXDssB5,37.0,141424.0,0.0571,0.0936,1.0,0.15,1.0,0.368,-20.403,0.674,0.857,0.217,74.581
