cluster,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,user
3,Não Pisa no Meu Boot,4VCwTcX9k7oSMm9GvXltME,MC Caverinha,7tojcuXcZ7eBlQjbAc65Ee,164000,0fDXd6UXam6MUuaK8lihwJ,Não Pisa no Meu Boot,62,0.306,0.95,0.303,0.0,7,0.115,-15.73,1,0.355,120.015,0.42100000000000004,Playlist
3,Em Off,4wFhqD3i3YSYcSkbSC9mrq,Matheus Queiroz,42M14UjNCtQbaa0L3t2lN7,204923,6zXjPUNosoQfTR2t4wgP8s,Em Off,39,0.0845,0.584,0.491,3.9e-06,1,0.125,-10.302999999999999,1,0.122,129.886,0.45399999999999996,Playlist
3,Radio,4sevefzBUFvJYAzijVBQ2a,LL Cool J,1P8IfcNKwrkQP5xJWuhaOC,240493,4F4neui0edP1ozygvFiCi7,Rock The Bells,52,0.00558,0.898,0.52,0.377,6,0.124,-12.88,0,0.15,98.476,0.253,Playlist
3,Slide,6b3LhhX9Lt2861Dsh3ZCC2,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,238321,2rTnVB1bvwxHtaIl4uVu7f,Slide,74,0.0807,0.8270000000000001,0.469,8.12e-06,10,0.207,-9.141,0,0.341,97.02799999999999,0.196,Playlist
3,No Brakes,65Uo74eW8L3zXUxSOlSm6H,John Waite,2TPyCsRoh2tjeZLTQ2ojlj,269760,1Qrdlkgg9I4J7r3P4kZNwr,Missing You,70,0.052000000000000005,0.552,0.552,0.0,11,0.046,-9.736,0,0.0364,208.571,0.593,Playlist
3,KILL THIS LOVE,2Pz8VAMiGc9UW1rrbBRDuO,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,201081,7ibZWzytUh41z5ycK2I5N8,Don't Know What To Do,71,0.0992,0.628,0.64,0.0,6,0.138,-4.164,0,0.049,129.815,0.409,Playlist
8,Tres Hombres (Expanded 2006 Remaster),0Em8m9kRctyH9S3MTXAHvY,ZZ Top,2AM4ilv6UzW0uMRuqKtDgN,230480,70YvYr2hGlS01bKRIho1HM,La Grange - 2005 Remaster,75,0.00249,0.545,0.64,0.0304,4,0.196,-9.937000000000001,0,0.22399999999999998,80.544,0.606,Playlist
8,Bailão,7sZwY31f8pBNa5KvlFfSYR,Meno Tody,2mNP0EIVZICxF8NJ46SG0L,210612,2hgfeYKzJIaUlrhk6oP3wc,Bailão,66,0.000194,0.784,0.5720000000000001,0.0,8,0.102,-8.378,1,0.0912,147.046,0.768,Playlist
8,Oi Nego (Não Vai Dar Parte 3),3bj35fk8CPlghdLVOiDZnF,Jefferson Moraes,40t5KmKTi2ajyJmerMYY4C,170517,5M78WUOq5AjcDfLoj9yi6a,Oi Nego (Não Vai Dar Parte 3),63,0.23800000000000002,0.738,0.779,0.0,10,0.0841,-5.055,0,0.0439,136.977,0.92,Playlist
8,Desencana,5AyYtVtKpET9qePKG8MZNT,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,157051,4Jba76DjAcgEvvGfIopNTl,Desencana,67,0.147,0.754,0.8059999999999999,0.0,1,0.183,-4.633,1,0.0363,129.961,0.584,Playlist
5,Mud Slide Slim and the Blue Horizon,0h8hazllDADHsrSpcQCltk,James Taylor,0vn7UBvSQECKJm2817Yf1P,268706,69l8nFPu0LWmnoJX7YSVYc,You've Got a Friend,69,0.6809999999999999,0.695,0.282,0.0267,9,0.0767,-15.359000000000002,1,0.0295,91.681,0.445,Playlist
