cluster,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,user
8,Terremoto,7q0BEiH1SJeiPDW8xQ0v8i,Anitta,7FNnA9vBm6EKceENgCGRMb,146276,7G2XZhDNHo7SSDWSVxC0UT,Terremoto,72,0.32899999999999996,0.8909999999999999,0.805,0.0,8,0.27699999999999997,-5.836,0,0.0898,95.045,0.9670000000000001,Playlist
8,Que Calor (feat. J Balvin & El Alfa),6RrC644Y4IxLrWXtCO6z90,Major Lazer,738wLrAtLtCtFOLvQBXOXp,169997,1G2CAJeP7rCwOZjlSJ0Zw3,Que Calor (feat. J Balvin & El Alfa),60,0.0372,0.795,0.885,0.007540000000000001,8,0.285,-4.129,1,0.0716,126.038,0.46,Playlist
8,Desandeiro,2sNlhzFkslOGbIhfkiwebN,Antony & Gabriel,1uhE4e8omc2wKqIK88bqH4,162954,6nF518SPVInJZfMwWQe4qy,Desandeiro,56,0.11699999999999999,0.731,0.715,0.0,7,0.142,-6.894,1,0.13,127.461,0.5870000000000001,Playlist
5,Sense of Home,4uJY9pRMcABooRV50bf9Wu,Harrison Storm,5Ld19xtpAR80G2boTcHaVx,265840,68wibJU4yMiqNX79IaLAsN,Sense of Home,66,0.892,0.565,0.207,1.8000000000000001e-06,3,0.102,-10.925999999999998,1,0.032,140.06799999999998,0.0904,Playlist
5,Must Have Been The Wind,0A5GgdYeE7UJDnBeXuZWma,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,179299,1PsMieVYFXrSeXMxuE2SbG,Must Have Been The Wind,76,0.8220000000000001,0.5920000000000001,0.475,0.0009689999999999999,7,0.122,-11.09,1,0.0727,178.093,0.369,Playlist
5,Nilsson Schmilsson,4s2hhmQizU4FHtRU7dDzHP,Harry Nilsson,3RTzAwFprBqiskp550eSJX,203000,02gV5Zc9ctbZxD1uTNIok5,Without You - Remastered,15,0.5539999999999999,0.45299999999999996,0.213,3.68e-06,4,0.0506,-13.655999999999999,1,0.0279,64.17699999999999,0.0955,Playlist
9,East Soul,3qZTG3nEqubB6yEdJ2HApU,Tom Staar,0iSYvHKAdhWVdZkS1PYK3u,198095,45q8AiHpCIB6iEXXHFffws,East Soul,52,0.00164,0.546,0.922,0.9570000000000001,5,0.0767,-3.68,0,0.0355,125.979,0.141,Playlist
9,Seventeen Seconds (Deluxe Edition),7hhojBmp7o620ZSq1eP9a8,The Cure,7bu3H8JO7d0UbMoVzbo70s,354290,0T6kwiueP62ten2KLLmQS4,A Forest,18,0.365,0.579,0.622,0.652,0,0.0955,-11.285,1,0.0563,163.107,0.435,Playlist
9,Contraband,5pJSDIgzal89ksQUzcGGFE,Velvet Revolver,7CHilrn81OdYjkh4uSVnYM,271440,4A9O9e4iTm4bYnOPSzWaGb,Fall to Pieces,55,0.000468,0.45799999999999996,0.884,0.483,6,0.128,-4.678999999999999,1,0.0495,132.814,0.25,Playlist
3,Ladrão,2Qz6gIPZbP5rNiITj2aFjl,Djonga,204IwDdaHE4ymGk9Kya2pY,212650,5cEZdqWwTQbQ5mfiZJpzps,LEAL,69,0.0835,0.545,0.498,0.0,11,0.128,-6.0,0,0.342,87.17,0.5479999999999999,Playlist
3,Uma Bala,40lUHhq9n7nv2jz6umoDXv,Derek,4Y0VwRwAOyJutxoVpPX4td,209123,12oC6VsWoVmiLuLfKmxdnG,Uma Bala,59,0.161,0.9620000000000001,0.49,0.000101,0,0.0545,-11.147,1,0.684,132.99,0.23800000000000002,Playlist
3,Só Pra Contrariar,4tV1Azuq28wckbq005s9aa,Só Pra Contrariar,2B8HcBRTizIsSPryM46Sb1,243000,3EjxAbEOH28icEK1ZFOUSh,Essa Tal Liberdade,62,0.287,0.5870000000000001,0.47,0.0,9,0.15,-13.960999999999999,1,0.0485,119.749,0.49,Playlist
1,+,0W5GGnapMz0VwemQvJDqa7,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,185093,53Pgsvu3qSYO2aXt5J2vcL,Lego House,61,0.562,0.5920000000000001,0.637,0.0,11,0.13,-8.48,1,0.0992,159.701,0.565,Playlist
1,Nervos De Aço (1973),04U2cXd9SJGgtDmuhVsiSS,Paulinho Da Viola,0t2xdTxRXnffsmpMamH8Ls,301200,75G77YTm5NUH59IWceO9e7,Roendo As Unhas - Remaster 2012,38,0.67,0.607,0.489,0.0624,5,0.151,-12.005,0,0.0548,79.858,0.914,Playlist
1,Versátil,6QLdS0DHJp6v493GZr9KOM,Nelson Sargento,0Ij2lGitwYszblscnFtglL,246733,7gW3883SbE306v3X4pKTWN,Nas Asas da Canção,46,0.6509999999999999,0.6729999999999999,0.41600000000000004,0.0,7,0.124,-11.41,0,0.0385,85.969,0.871,Playlist
6,Afrodite a Deusa do Amor,5nA4jRz34RbHzsDNrv3iXq,Cheiro de Amor,2elJHGuwL43ahofvuD6KGs,180787,5PfUjysBdEJ6jX89Uz8DUN,Afrodite a Deusa do Amor,32,0.0311,0.636,0.934,0.0,11,0.258,-5.682,0,0.0548,174.042,0.735,Playlist
6,Nação Mameluco,7pylE91jlo1hdtEfOFPFKT,Gil Camará,4MjXDEDVhbt5PLmqZA9e9g,188413,5G95MpQaVIrBPVAgB6NLKR,Balanço do Luiz,26,0.129,0.727,0.8690000000000001,0.000719,11,0.162,-8.53,0,0.0429,113.025,0.915,Playlist
0,Rust In Peace,0qaLL09EtF1hiUis7PRvaJ,Megadeth,1Yox196W7bzVNZI7RBaPnf,319042,4E5xVW505akJX0wcKj8Mpd,Tornado Of Souls - Remastered 2004,64,0.00203,0.519,0.982,0.00055,7,0.0971,-3.5469999999999997,1,0.10800000000000001,97.745,0.361,Playlist
