cluster,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,user
3,Favela,16QR0dsvnAghkCk31Q1Qd3,Alok,0NGAZxHanS9e0iNHpR8f2W,185104,2JVbZEpewmqNlSzmXJTx2E,Favela,71,0.0125,0.777,0.812,0.00233,2,0.0264,-3.2060000000000004,0,0.0598,103.023,0.28300000000000003,Playlist
3,Mylo Xyloto,2R7iJz5uaHjLEVnMkloO18,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,278719,6nek1Nin9q48AVZcWs9e9D,Paradise,79,0.0522,0.449,0.585,8.49e-05,5,0.0833,-6.7620000000000005,1,0.0268,139.627,0.203,Playlist
3,Bye Bye,0k0hPEWxhP0IFfqUHeZTnI,Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,184615,3NpRkAnxexTh4TklAZNjag,Bye Bye,73,0.332,0.655,0.34,8.73e-05,10,0.106,-6.834,1,0.358,90.67,0.24,Playlist
3,Dying to Live,5n1GSzC1Reao29ScnpLYqp,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,228759,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE,85,0.0521,0.861,0.603,0.0,8,0.0924,-5.787999999999999,0,0.17600000000000002,98.04299999999999,0.504,Playlist
3,Rainbow,1IYVB8NfiRqhdZlTxjspNh,Kesha,6LqNN22kT3074XbTVUrhzX,230266,0jdny0dhgjUwoIp5GkqEaA,Praying,77,0.491,0.5760000000000001,0.39,0.0,10,0.111,-7.202000000000001,1,0.0297,73.433,0.319,Playlist
3,Sanguine Paradise,49K82qcZN4u109e6Zw8io1,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,243976,3XiNC94b4Tq1xwv70sQJGN,Sanguine Paradise,85,0.0948,0.7290000000000001,0.603,0.0,6,0.113,-6.736000000000001,0,0.0666,134.972,0.207,Playlist
8,Tornado Muito Nervoso 2,2MO5ni5CLSXyBfY8OdX2fu,Beth,18W3isuLr0oKWKhhKVXy4S,168173,0dCwmf59BqqIAXvw9PRsGG,Dança da Motinha,44,0.0105,0.973,0.9570000000000001,0.00476,6,0.326,-5.968999999999999,0,0.11199999999999999,126.973,0.95,Playlist
8,Arriba (feat. Clean Bandit),6Wv4lbLZlGAMocnWH2d80C,Little Big,0pnd3MP2rxAzljR9AqXUJB,152901,2zRxFhNLCWUDcB6CjcUb8v,Arriba (feat. Clean Bandit),62,0.0564,0.907,0.775,0.168,10,0.044000000000000004,-5.983,0,0.0698,129.049,0.718,Playlist
8,When The World Comes Down,3BCMpDOcQlbCZpf5vnTadZ,The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,213106,6ihL9TjfRjadfEePzXXyVF,Gives You Hell,72,0.0156,0.7140000000000001,0.725,0.0,4,0.0726,-6.4110000000000005,1,0.0402,99.988,0.59,Playlist
1,Blackheart Man,0Z3LzsnqFDWU10sTu31Cfm,Bunny Wailer,389zc5Rwe0MPcE6mSF4AjC,165893,1haHZa75ytryLGUOtHiGl5,Dream Land,58,0.35200000000000004,0.7859999999999999,0.485,0.0046700000000000005,1,0.0424,-13.012,1,0.321,72.842,0.96,Playlist
1,Aposta,0EGhTLfbx6ru7P18mlhS5N,Solange Almeida,3Hew3AuvrbKxCbehT4Rorq,133209,6bNlw1ZBCANkX0Vlny9W97,Aposta,46,0.41600000000000004,0.955,0.608,2.27e-05,11,0.0406,-4.127,0,0.195,129.933,0.8740000000000001,Playlist
1,Vai Com o Bundão,0301CWeDGrCobfKfCrnpTa,Mc Mr. Bim,0Lhk5DBsN2N0HGUZ0TmUq2,162692,2edatJcfQQ041unTpzJn0K,Vai Com o Bundão,31,0.69,0.9179999999999999,0.643,0.00011399999999999999,11,0.157,-6.803999999999999,1,0.066,129.975,0.9179999999999999,Playlist
5,The Definitive Collection,2Rd1gDdcoKvdtwKRwFk3SF,Lionel Richie,3gMaNLQm7D9MornNILzdSl,266266,10l4NKnCy92pkXnxESPzDw,Endless Love - Endless Love/Soundtrack Version,49,0.64,0.207,0.358,0.000356,10,0.166,-9.672,1,0.0289,62.33,0.209,Playlist
5,Escândalo,0LJM62fKQYCoHsZhaTBZWf,Angela Ro Ro,4oqEOTTnqopPdYFYz0i61Y,237760,7HhwhQSrQo0dDGxBzTTKwQ,Na Cama,33,0.775,0.5589999999999999,0.391,0.0228,10,0.10400000000000001,-10.817,1,0.0334,112.887,0.455,Playlist
6,Veia Nordestina (II),5fYoQcxPRC9SfIjbTbgK5N,Mariana Aydar,3rE82NMVBb5C5tQ83o8u8N,142339,7kb1Vc5f9Lk3ScoHX6iLZT,Xilique,25,0.294,0.747,0.852,1.14e-06,8,0.316,-6.654,1,0.0555,105.955,0.953,Playlist
6,Reggae Reggae (International Version),4DSiH8fLj4U6SaSuPeqoZJ,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,259600,4DSjzH2HIcYy3w0W5yfzY9,"You Don't Love Me (No, No, No)",2,0.00626,0.688,0.64,2.72e-06,2,0.073,-7.044,1,0.0728,84.00299999999999,0.63,Playlist
4,Natiruts Acústico no Rio de Janeiro,14iEAaKYHYBx8jMEtzKmSX,Natiruts,4PhdYoQGH8s1xee81dqQOO,263106,754w4HeOR2R6Si4UmQB8tv,Andei Só - Ao Vivo,66,0.207,0.585,0.622,0.0,1,0.83,-6.865,0,0.0305,145.954,0.612,Playlist
4,Acústico - Ao Vivo,5ef3YHfeGQd6JW056VmKiy,Bruno & Marrone,5JXhkyafynxCvxtov7C1PV,184240,3pANwjrypucSkTOQdSFbEK,Amor de Carnaval - Ao Vivo,60,0.38799999999999996,0.5489999999999999,0.738,1.49e-06,9,0.821,-5.362,1,0.0307,149.624,0.521,Playlist
0,Don't You Fake It,6TyPSzd5rA2rQ9yLJJ1Gg2,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo,192000,4wzjNqjKAKDU82e8uMhzmr,Face Down,75,0.000665,0.545,0.932,0.0,7,0.127,-2.189,0,0.0399,92.956,0.465,Playlist
9,Ring The Alarm,18EY8ioAkIjG0n5K6mP0tq,Nicky Romero,5ChF3i92IPZHduM7jN3dpg,170494,2D5Fi0jgFCo2kWJ84wAxWb,Ring The Alarm,63,0.0004,0.568,0.968,0.397,7,0.0954,-3.772,1,0.109,125.99799999999999,0.313,Playlist
