cluster,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,user
2,Walls,4jtkuxWbI1PRFKED3XwV6g,Sultan + Shepard,14Tg9FvbNismPR1PJHxRau,255234,35eDC4sKVDU1BGNHhbNbCP,Walls,6,0.0256,0.45399999999999996,0.726,7.859999999999999e-05,9,0.0604,-5.482,1,0.035,127.926,0.0971,Playlist
2,Prayers,5fZL0Q8YfChBATBLDGxKPU,Bayside,51J0q8S7W3kIEYHQi3EPqk,210920,4fdblGxNsumTSbP0QOnUHi,Prayers,52,0.00010800000000000001,0.467,0.929,3.229999999999999e-05,0,0.171,-5.932,0,0.0917,112.531,0.37200000000000005,Playlist
2,Fields of Verdun,5ova3kqZbYy26SI5uXE6cO,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,197413,0xlbc12D0xUNTM2QeS56kh,Fields of Verdun,54,0.00323,0.541,0.986,0.0,0,0.105,-5.315,1,0.10300000000000001,96.954,0.484,Playlist
2,AVĪCI (01),6LaLU27ZPXimJIbpbiOahr,Avicii,1vCWHaC5f2uS3yhpwWbIA6,181672,6WbADFqMvR8N5u0BvtsWQE,Without You (feat. Sandro Cavazza),27,0.00179,0.652,0.855,0.0,2,0.0404,-4.832,1,0.0441,134.009,0.27899999999999997,Playlist
2,Simbora Beber,0pX9I1oimJatYJmFrmJlkh,Mariana Fagundes,63yBOaK3N1kG2g1M5ZxBox,168579,1nda607aIirXUC7cMrASjU,Simbora Beber (Qual A Desculpa De Hoje?),47,0.365,0.639,0.833,0.0,7,0.191,-3.3739999999999997,1,0.0407,121.899,0.478,Playlist
2,Praia (Sem Sair De Casa) - Helen Sancho Remix,3dNhojJVl4etccSfL1gmLy,Hotelo,11LYUBREaqNaJcruqe26lH,191712,5ADjEWixxdmdS4pUMQ5BJS,Praia (Sem Sair De Casa) - Helen Sancho Remix,45,0.26,0.634,0.73,1.93e-05,2,0.384,-5.648,1,0.0914,124.03399999999999,0.37799999999999995,Playlist
2,Jump Up,1VUYlrA1ZIGsmIGPsiwK2C,FTISLAND,6KhH771vq2X2Aom91nNzpZ,232866,2DGKTUZ3ywykT9hcqiYgR6,Bad Woman,44,0.29600000000000004,0.268,0.794,0.0,2,0.14400000000000002,-2.218,1,0.0532,205.92,0.33299999999999996,Playlist
2,Sou Teu Fã,1ac0zGT6bhX0IQeQpyOyKd,Dennis DJ,6xlRSRMLgZbsSNd0BMobwy,170956,5sjvZiR2SjOGJimYmHXfzd,Sou Teu Fã,70,0.115,0.777,0.659,0.0,2,0.0624,-5.9079999999999995,1,0.0309,125.07799999999999,0.465,Playlist
2,Currents,0rxKf57PZvWEoU8v3m5W2q,Tame Impala,5INjqkS1o8h1imAzPqGZBb,318550,04GyFGGvAyItrPfeV0HNj2,Eventually,10,0.012,0.415,0.616,0.000669,9,0.0981,-6.2170000000000005,0,0.0323,77.969,0.142,Playlist
2,Coco,0gX4aTUhxNbdFTJBXX7OrH,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,244106,5OGkKx8jP0A5KSULEc6XYZ,Realize,61,0.142,0.6990000000000001,0.607,0.0,1,0.105,-6.312,1,0.0347,123.95,0.156,Playlist
