cluster,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,user
1,Essência 1,4FUxRt9CenOL5zylvCRYqL,Solange Almeida,3Hew3AuvrbKxCbehT4Rorq,123593,2zth0u7c8TuAZ2OcAbb8i3,Se Beber Não Digite,50,0.49200000000000005,0.737,0.8270000000000001,1e-06,5,0.0689,-5.992000000000001,0,0.0375,174.968,0.9590000000000001,Playlist
1,Samba Goal - Powered By R10 (USA Version),6OhixhDKgwVl5SxEPrPX61,Zeca Pagodinho,3qZ2n5keOAat1SoF6bHwmb,274893,3IGssOQU1XqizfaLUro3iE,Deixa A Vida Me Levar,5,0.614,0.7390000000000001,0.775,0.0,6,0.315,-10.158,0,0.22,105.12299999999999,0.8959999999999999,Playlist
1,Clube Da Esquina 2,4mywaTqTdSJUikLyiVqjjX,Milton Nascimento,3Bnq7jiU506HcPjRgQ43TM,184466,1nl13AcSpiCKdbkhtvJoo7,Maria Maria,49,0.61,0.46799999999999997,0.612,1.23e-06,8,0.0672,-8.168,1,0.0382,128.69299999999998,0.767,Playlist
1,Jovelina Pérola Negra,2QWtUqNmlr3PVU9qPANbPf,Jovelina Perola Negra,7AicXtLi5qHsZLArE6V9EP,216933,2Co2GQ3XPmFEYpQJnOTNPX,Menina Você Bebeu,28,0.484,0.706,0.711,0.0,2,0.183,-5.989,1,0.107,114.62799999999999,0.938,Playlist
1,O Amor É Um Ato Revolucionário,7554Vs9iGS3vuuzHCbUbFL,Chico César,3vlUveVfzPXzhiPGjHHxOH,176913,0RAh7GXEn98v3zQljA2aQY,History,39,0.42200000000000004,0.8540000000000001,0.53,0.0,9,0.126,-9.779,0,0.044000000000000004,123.955,0.675,Playlist
1,Amar Amei,0lacTEhgEnhJEgbgzUqyos,Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,217845,1kNVJQEkobOlyfbctPZ4fs,Amar Amei,62,0.488,0.675,0.493,0.0,1,0.073,-5.197,0,0.0792,129.97899999999998,0.8170000000000001,Playlist
3,Aba Pai,0f54Xk8z1IjCFXrUUYtk0s,Elizeu Alves,6wOGRxxl44uPr3DNjdocTt,323268,6q2zorPPAuuioUztEXISCE,Aba Pai,46,0.00946,0.426,0.537,0.000113,7,0.105,-7.9510000000000005,1,0.0294,134.01,0.0593,Playlist
3,Tipo uma Glock,1ofJDp4DEAf8PHwA15DYTK,Jovem Dex,0OLpdla9YvZOtlPnQkXScl,125156,0uv71i1waQbyRjZT86Fctu,Tipo uma Glock,63,0.00592,0.875,0.5589999999999999,0.0,1,0.161,-8.9,0,0.281,140.02,0.456,Playlist
3,Every Kingdom,1HWi1cL1VGLCiIYGfvHJmG,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,249173,0QB71BDzh36guAExsTIgNO,Only Love,24,0.3,0.545,0.485,0.00137,8,0.11900000000000001,-9.941,1,0.151,80.40100000000001,0.341,Playlist
3,Complainer / 4th of July,1zpDOBgaGi7vIOo81J4p4H,Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,219573,57PNPoQwWae2Mna894L6py,Complainer,62,0.335,0.7090000000000001,0.462,1.4800000000000002e-05,6,0.11599999999999999,-6.379,1,0.0338,99.99600000000001,0.496,Playlist
