album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,231826,2ls70nUDfjzm1lSRDuKxmw,Blank Space,66,0.0794,0.75,0.687,0.0,5,0.0732,-5.44,1,0.0704,96.031,0.597
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,231000,71PmZqBXH0RUETqxpwlV0w,Style,55,0.00246,0.592,0.799,0.000933,2,0.112,-5.473,1,0.0397,94.992,0.516
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,235800,7EpVQjqtKygiwJIASxMWNg,Out Of The Woods,50,0.001,0.557,0.831,1.53e-05,7,0.334,-6.855,1,0.039,92.008,0.34
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,193293,4NNolUeL5m2ju7kf8pdg6H,All You Had To Do Was Stay,60,0.00164,0.603,0.733,2.99e-05,5,0.11,-5.692,1,0.035,97.031,0.514
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,219200,1kKlhuQE0HXp1IwBRpaH2P,Shake It Off,53,0.0543,0.644,0.789,0.0,7,0.184,-5.351,1,0.172,160.041,0.932
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,207440,5RVJ6VKfwtosA5Q1qeHdjF,I Wish You Would,46,0.0173,0.653,0.903,8.16e-05,0,0.108,-5.914,1,0.0524,118.026,0.473
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,211933,0TvQLMecTE8utzoNmvXRbK,Bad Blood,71,0.0978,0.65,0.796,1.08e-05,7,0.172,-6.078,1,0.177,170.141,0.295
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,220440,3fVnlF4pGqWI9flVENcT28,Wildest Dreams,73,0.0704,0.559,0.689,0.00304,8,0.102,-7.344,1,0.0811,140.035,0.468
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,247533,5Z9ocF6ng0m2haHnKtHwTp,How You Get The Girl,47,0.00434,0.76,0.661,0.00711,5,0.0796,-6.094,1,0.051,119.987,0.522
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,250093,7lTxQZVXlvIX7Z3szSy8Sh,This Love,46,0.659,0.476,0.449,0.0,4,0.0846,-8.776,1,0.0351,143.919,0.0856
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,195706,6Ck9WerfsyvC4v4AylUoDp,I Know Places,54,0.247,0.64,0.767,0.0,0,0.168,-4.936,1,0.0463,79.999,0.529
1989,5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,271000,2k43eySbfpDVx0PrO99UI8,Clean,47,0.25,0.808,0.374,0.0,4,0.111,-7.788,1,0.0349,103.975,0.229
Mais Que Um Personagem,36go3JnJEgyBR8D7CwM9Fl,Lucas Hype,2PZms5sL9CDg4rwoRFqPt5,130026,37foKV1TMjy4aJFB3VDmjQ,Bem-vindo ao meu álbum,42,0.00172,0.671,0.422,0.000319,1,0.172,-10.11,1,0.0435,120.027,0.0687
Mais Que Um Personagem,36go3JnJEgyBR8D7CwM9Fl,Lucas Hype,2PZms5sL9CDg4rwoRFqPt5,137170,3BBsw8GDeJZEr7Zko2gE6E,Snoop Dogg,46,0.00582,0.825,0.597,5.27e-05,8,0.0867,-11.224,1,0.188,91.013,0.552
Mais Que Um Personagem,36go3JnJEgyBR8D7CwM9Fl,Lucas Hype,2PZms5sL9CDg4rwoRFqPt5,132942,5LpFaCN3VvVtN5gK9eM2g1,PewDiePie,50,0.00924,0.94,0.31,0.0,1,0.0426,-10.405,1,0.573,129.916,0.629
Mais Que Um Personagem,36go3JnJEgyBR8D7CwM9Fl,Lucas Hype,2PZms5sL9CDg4rwoRFqPt5,166461,3H2eoMype5EJRlgodfm5fg,Eu não uso Gucci,47,0.0227,0.866,0.3,0.0,1,0.108,-10.764,1,0.508,123.835,0.268
Mais Que Um Personagem,36go3JnJEgyBR8D7CwM9Fl,Lucas Hype,2PZms5sL9CDg4rwoRFqPt5,137982,2oGen8vxYyBpI2jHlOckqa,Gótica Rabuda,46,0.00488,0.89,0.434,1.37e-05,0,0.385,-11.567,1,0.223,127.172,0.551
Mais Que Um Personagem,36go3JnJEgyBR8D7CwM9Fl,Lucas Hype,2PZms5sL9CDg4rwoRFqPt5,79987,4iU4baDsC0fNHfuw595ntf,Triste Mto Triste,43,0.0618,0.533,0.299,0.0137,1,0.117,-10.487,0,0.216,151.002,0.314
