name,album,album_id,artist,artist_id,id,popularity,duration_ms,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
"Lover, Leaver","Lover, Leaver",2pwQljRu5CDZrWWewU4Tdy,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,7wjsFW5cSAGy2T9fZbJ6be,10,215013,0.0475,0.617,1,0.136,9,0.496,-3.878,0.00213,0.21,0.922,91.972
When The Curtain Falls,When The Curtain Falls,6sZZUbFqCVf3NLXYBLzFNj,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,3Rw9J03nW964TruD23gfaS,10,221893,0.156,0.674,1,0.0713,0,0.381,-2.258,0.0457,0.0706,0.975,191.974
インフェルノ,インフェルノ,137FjNv5TRNvbW6D17bQc1,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,64yajM6CxtLghmgB53VeXT,71,212546,0.0581,0.695,1,0.465,4,0.529,-1.538,0.00955,0.0,0.931,92.466
HUMAN LOST - feat. J. Balvin,HUMAN LOST (feat. J. Balvin),5U6qIZnUQrjRCs4OkUKVLu,m-flo,4UhiMIdxKqQxmzdE9nYe6O,7rve4q3HYr6aijd9o3agx1,56,282076,0.0509,0.259,1,0.152,0,0.619,-5.558,0.129,0.0,0.675,147.016
Phantom Joke,UNISON SQUARE GARDEN The 1st Collection for streaming,6Rm9rTuxsvukGVowLHP93c,UNISON SQUARE GARDEN,449AEgfeOxqAuRn0uX6l3u,4kFY1RxOo6Wd8hgVL3t6Rb,54,244440,0.123,0.754,1,0.268,10,0.506,-3.727,0.000484,0.0,0.969,100.039
from the edge,from the edge,6k8gWO2UT7VTHRGULu5xp7,FictionJunction,5Q08YLH6CfTdmvhvRJ3iyz,1HXRps6gmF8yMZPsJ6n9Zk,39,278655,0.15,0.157,1,0.234,1,0.352,-3.827,0.0014,5.79e-05,0.926,162.051
Nate's Theme 2.0,Uncharted 2: Among Thieves (Original Video Game Soundtrack),7AeuCduXts5efoVLam7dUk,Greg Edmonson,2O0YGVBPONB6lPJYxb0q3w,2xJCwA0WygA4INcY2tMQ5g,46,105515,0.044,0.402,1,0.12,7,0.294,-14.639,0.245,0.927,0.395,127.025
Lance,Lance,5Xj5BDHtmwZ4U2SHI7tAJh,Junior Lord,6rFkZxhheU9l1nODgZm4SP,0ZVnnHmkRvs7GNIs2na4Vc,50,178566,0.152,0.291,1,0.119,11,0.824,-6.262,0.255,3.65e-06,0.6,109.974
A Meta É Ficar Bem,A Meta É Ficar Bem,6RnJcI3DVFTiJ6RfMCsnAA,Delacruz,1MzXJ8AaHdidMAnjgcahS4,317jDgApvz58HaEBRMUGBX,63,290157,0.0805,0.326,0,0.138,9,0.47,-10.144,0.605,0.0,0.595,131.376
Meu Neném,Meu Neném,6qv1rqUlfbKvTQXMTJGrDl,Neew,2SnQV33JSAlRWZdEIMOAvH,7LVleeNg62dFCBQN4SPAFg,42,186674,0.0404,0.319,0,0.0789,8,0.668,-3.863,0.0827,0.0,0.655,120.073
Vê Se Não Demora,Vê Se Não Demora,0NG6D2rG3INWWfqOfL4qAx,BlakkStar,0xOEY6ZB9xhdW3SnfmlgvX,7z5m1d4eBZrMxtVjZfr0D0,66,195901,0.14,0.214,1,0.15,9,0.662,-15.449,0.848,0.0,0.218,130.242
What I Got,Sublime (Explicit Version),5dwkpREUiLdmPLy4POzFSa,Sublime,0EdvGhlC1FkGItLOWQzG4J,3oVSsJXNADnYAnZWiEWFJH,15,171066,0.101,0.623,1,0.326,7,0.795,-7.494,0.0172,0.000384,0.706,95.593
La Mar,HOPE Campaign Tribute Album 2010,6nKCSPUzU4GLM7cqqYmruM,The Beautiful Girls,0hDJSg859MdK4c9vqu1dS8,2qrVYBy2PArMwQRVZxFWzz,55,257906,0.106,0.463,0,0.118,0,0.569,-18.932,0.7,6.21e-05,0.118,171.208
Funky Kingston,20th Century Masters: The Millennium Collection: Best Of Toots & The Maytals,4LqckZIG3vtFVGIeY3Q5Yz,Toots & The Maytals,6ZFv3wQwwWPiVDWhv0mjQK,0bJ4nQojefjNpeuZNkiLrX,45,290200,0.0572,0.962,1,0.046,11,0.763,-9.383,0.271,0.000846,0.512,99.695
Put a Little Love,All Natural,3pwOfQqtWgH4duJxZm5pax,Natural Vibrations,2u0CzUCFU8OEoIFORUq6wJ,0yQLIH6DH7Hop9K1eHLzVL,51,264400,0.0705,0.615,1,0.052,0,0.731,-8.755,0.0117,0.0,0.651,77.866
You Can Get It If You Really Want,The Harder They Come,4UhiCJRMQrjZ1AQooan47K,Jimmy Cliff,3rJ3m1tM6vUgiWLjfV8sRf,2QKh6t4JnWeTnzQpkNXhzW,17,158893,0.0568,0.929,1,0.0762,1,0.894,-8.547,0.248,0.0,0.559,128.164
"Wonderful World, Beautiful People - Single Version",Best Of / 20th Century Masters,1HkG5JC2RNtrBl4Zq97qgA,Jimmy Cliff,3rJ3m1tM6vUgiWLjfV8sRf,4GEz5ZGMPcX9OZ5ta0v85e,49,193480,0.0278,0.854,1,0.0631,2,0.781,-11.279,0.0073,0.0,0.491,105.816
I Got You,From Here To Now To You,61427AKV7p3p30uvrniI4L,Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3,5WjDmjD39LsFCRRALhorjd,52,179346,0.0386,0.518,1,0.0899,11,0.898,-6.541,0.622,1.59e-05,0.404,98.081
Love I,The Green,5yZAQbR0tpWXBuMvKjxHjR,The Green,5RkXaPxdZ8L7ERNgDZXlKh,4Hrw5VbQ9xDPdHdLCqBsSA,58,216240,0.084,0.929,1,0.124,7,0.856,-8.467,0.344,0.0,0.47,133.02
You Can Get It If You Really Want,This Is Crucial Reggae - Desmond Dekker,3GgZQFcYrGnJJb8MEV0qt9,Desmond Dekker,1FcB6xMihhP9Hb6AdGVbWe,7c4jhFb9hxGQ4UimhKPIWF,1,157400,0.0438,0.828,1,0.0637,1,0.836,-8.971,0.116,0.0,0.505,127.734
Dawn of Time,Tribal Seeds,6wmbkqwaT1z87mPMKxxhfN,Tribal Seeds,7jgZFR40bWjwOrRCOZFB02,445qQk3nyQwmjf4vzDghKd,57,256453,0.0553,0.899,1,0.193,7,0.701,-10.709,0.0736,0.000504,0.565,153.942
Three Little Birds,Legend (Deluxe Edition),0tiPal8J7t3B9tPF7kGWDi,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,26JRni5Lqiyd9GNnlaz6DI,18,180533,0.0855,0.643,1,0.0399,9,0.781,-10.54,0.0109,1.01e-06,0.478,73.962
Me Gustas Tu,Próxima Estación: Esperanza,6V5K77ZC7Gq3I1GgOVSoVs,Manu Chao,6wH6iStAh4KIaWfuhf0NYM,6t0fYRoZlM5kQ9qT19JnbZ,12,239986,0.075,0.914,0,0.215,11,0.657,-6.817,0.649,0.299,0.734,176.033
One Good Spliff,The Spirit Of Music,5zje9PgzMPRNSwVDMCyFX2,Ziggy Marley & The Melody Makers,3Z2jmNAP2UaGa8lPpi54wD,0URS9f6Ck8mzhou6AMNCr5,7,234000,0.142,0.613,1,0.0759,2,0.617,-11.918,0.497,7.08e-06,0.464,107.982
Hey Now Now,Yell Fire!,5qYW0P0YKnMBOvbpIJWB51,Michael Franti,4vCYwGCNg2XUsdi9IVMzwo,2kftb6UA1jan9BaDnYt6Xa,2,336040,0.234,0.73,1,0.277,9,0.844,-4.839,0.0498,0.0,0.781,90.035
True Love,Peace In A Time Of War,5r9hBpqO48JZAUjZb3A8D1,SOJA,2vaWvC8suCFkRXejDOK7EE,1yY9KKrsCOe5DUDstpvYke,6,256733,0.0532,0.53,0,0.103,6,0.86,-8.841,0.203,0.0,0.408,116.831
Young and Able,Long Time Ago,3RGxeAYXO2X5l44ZYuZOXm,Current Swell,1DCRoiKOntBEezKXznDca4,5yQWk2KWtPa4p7p4rCMr2A,54,246933,0.0383,0.671,1,0.11,5,0.671,-10.827,0.788,0.0,0.504,144.215
Jamming,Legend (Deluxe Edition),0tiPal8J7t3B9tPF7kGWDi,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,5svnF9TMoMnerAMo3mmNnt,7,212640,0.282,0.723,0,0.111,11,0.939,-10.986,0.128,2.65e-05,0.479,123.68
