album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Made In Studio 2,1VE4gyyX0wEGJEnzZ4bvbM,Márcia Fellipe,3OxZ4asD88P1lJJmLcXz4K,137826,3mf4l3O9xn8JukaUETnZFt,Chá De Sofrimento,37,0.411,0.666,0.859,0.0,8,0.314,-3.836,1,0.0304,156.99,0.933
Made In Studio 2,1VE4gyyX0wEGJEnzZ4bvbM,Márcia Fellipe,3OxZ4asD88P1lJJmLcXz4K,145883,48cryfhSXQGrWyhnmXEOEg,Nota 1.000,38,0.564,0.707,0.851,9.37e-05,7,0.33,-5.008,0,0.0322,153.929,0.871
Deixa,7wj45LWz6uIcyBd8iqdlZ5,Bruna Magalhães,108y6vREhgAIvgvm1Cq54p,207209,0m52ru9yO561lgoMHyclcC,Deixa,0,0.801,0.299,0.159,0.0,11,0.0611,-16.54,0,0.0357,183.227,0.18
Amanhecer (Acústico),58lKTzy31WcudzG3JeQ5rG,Selva,1Ejjxuav6kpsSyb6QIhjHa,173658,119hm0B2ItwLshW2cKjCka,Amanhecer - Acústico,46,0.22,0.627,0.473,0.0,5,0.162,-6.856,0,0.0296,123.055,0.458
Sons de Amor,6grPMXqBDEhgZrM4TXk7zG,Mariana Nolasco,2DMXwm5MCyjDIQ7W3Zh7EH,184554,390AwhMU9A6ovPJ6lLEXyt,Sons de Amor,57,0.448,0.782,0.555,0.0,11,0.0878,-8.86,1,0.1,91.991,0.526
Microfonado Pocket,5DOWiPiYFjaCUddjTusuUw,Duo Avesso,76IWpyiJZ2yrXoSOLfcpc5,191999,3W0HW2oVB048XgCEl1m0vA,Eu e Você (Microfonado Pocket Version),39,0.522,0.585,0.482,0.0,4,0.112,-7.253,1,0.0233,89.245,0.418
Pétala,6kjE6V3Qiy3H0OhF3sHPjV,Cidrais,5QYAoZeTdLdRkiECvhZ5VE,222400,5mS74m0qb0iENWCso3y3ho,Pétala,41,0.646,0.734,0.285,0.00138,10,0.121,-13.585,1,0.0324,126.075,0.322
Certeza,5pZcoKt540MapSHTZw7qjq,Mariana Nolasco,2DMXwm5MCyjDIQ7W3Zh7EH,168000,7BiCPufUnKI4e9LUjHLIY5,Certeza - Acústico,59,0.812,0.379,0.251,0.0,0,0.309,-9.289,1,0.043,179.018,0.284
Amianto,7Kw3CagU00eCmikpg1o82A,Supercombo,73HkjgziMO6I83vFOS8mo1,169779,0GdCKPb66c2zm3biu7X5tV,Amianto - Acústica,58,0.247,0.591,0.425,0.0,2,0.265,-7.017,0,0.0352,99.614,0.381
Saideira Acústico Sessions,25dOkXZ3uEjF6lamqU3qRC,Jota Quest,5re6NsyXzHg6uvNimzQ3F6,267333,6BO1F7s14ZehAecywx99G6,Todas as Janelas,61,0.0687,0.582,0.561,2.13e-05,9,0.0829,-7.068,1,0.0293,82.969,0.412
Reis do Nada & Luccas Carlos,5FrFU6MZImpHXJk8fasZv8,Reis do Nada,53uVJS9yN2F0iVsZU05or3,197936,4zqXRz4y8cfXKUdIPUlIFD,Mó Saudade - Acústico,48,0.528,0.584,0.551,0.0,1,0.237,-5.839,0,0.0313,123.06,0.564
Acústico - Ao Vivo,2DMlDuUYFSjOyEDDL86yia,Raimundos,3CfJckVRuukdJSvK3r89yJ,222784,6kCGzPmsyJkzs0UnbXjply,A Mais Pedida - Ao Vivo | Acústico,62,0.487,0.604,0.892,2.54e-06,11,0.127,-3.527,1,0.0326,127.908,0.755
Mandona (Acústico),3Uzv21BbYSmMkKUm70zCw4,Oriente,0IVBT8qQNwvHLzOJL6kGpE,239999,0R4dwzW253KTxchGryT1H6,Mandona - Acústico,71,0.339,0.652,0.4,0.0,11,0.105,-11.284,0,0.447,88.755,0.556
Abrigo,5YtOfqMu6MXmHOaSE5lI1E,Roberta Campos,5CC2At3k0Xnyc5s9yHdyax,223773,1eVwcm7KXmJ8cAfQ9jz2wm,Abrigo,57,0.439,0.504,0.363,0.0,9,0.0943,-13.042,1,0.0267,141.955,0.545
ANAVITÓRIA,1ENOliEGEgAf5DIupazP9t,ANAVITÓRIA,1sPg5EHuQXTMElpZ4iUgXe,192714,2yGnStdGP0V45lPXAJpmDb,Agora Eu Quero Ir,4,0.475,0.733,0.308,3.9e-05,3,0.131,-8.488,1,0.0335,127.955,0.319
Só Posso Dizer,1WfgqVP0CixN0ygK9SOIKw,Nando Reis,7n1XMwvxPf10t4OX6h6Ufy,198765,3dor9wQtFRx1fqC7joWS6B,Só Posso Dizer (São Paulo),57,0.398,0.511,0.541,0.0,4,0.0986,-8.841,1,0.0316,73.931,0.719
Novo Ciclo,3Uayj41Ce88zsnjXajnGG2,Orgânico,5UOOgRWguRmVZo1voJuQpf,230107,5HhcXOota042Ync4U2OCfc,Novo Ciclo,61,0.91,0.525,0.383,0.0,2,0.11,-4.878,0,0.0676,177.209,0.344
Energia Surreal (Acústica),4sEHq6Ma5vgTsuDTLKK8lc,Thiaguinho,1vppDmG3i5sXf3DJzrK4T1,177481,6liKLBAIOXGFuKONLG3PIs,Energia Surreal - Acústica,55,0.356,0.57,0.368,0.0,6,0.0976,-7.521,1,0.0802,64.097,0.598
Promete,6DXshRqI83BTRfeWtspvyQ,Ana Vilela,66mL7YE8rG9eCu4QgM64m4,198377,7iB72vyGDEcc232lctJdgL,Promete,60,0.156,0.6,0.49,3.19e-06,2,0.116,-7.012,1,0.0268,111.826,0.591
