name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Bitter Sweet Symphony,57iDDD9N9tTWe75x6qhStw,80,357266,Urban Hymns (Remastered 2016),52AeC4gwbxDfFlLHgK1ByD,The Verve,2cGwlqi3k18jFpUyTrsR84,0.0479,0.518,1,0.406,9,0.356,-6.006,0.0335,0.0,0.917,171.176
Somebody That I Used To Know,1qDrWA6lyx8cLECdZE7TV7,76,244884,Making Mirrors,4G2rJNhsKOE6iHgtUqZ0Ye,Gotye,2AsusXITU8P25dlRNhcAbG,0.0359,0.751,1,0.0987,0,0.862,-6.927,0.542,0.000113,0.515,129.055
The Scientist,75JFxkI2RXiU7L9VXzMkle,85,309600,A Rush of Blood to the Head,0RHX9XECH8IVI3LNgWDpmQ,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0.0243,0.212,1,0.11,5,0.56,-7.224,0.727,1.71e-05,0.442,146.448
Yellow,3AJwUDP919kvQ9QcozQPxg,83,266773,Parachutes,6ZG5lRT77aJ3btmArcykra,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0.0281,0.285,1,0.234,11,0.429,-7.227,0.00239,0.00013,0.661,173.365
Fix You,7LVHVU3tWfcxj5aiPFEW4Q,83,295533,X&Y,4E7bV0pzG0LciBSWTszra6,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0.0338,0.123,1,0.113,3,0.209,-8.74,0.163,0.00195,0.418,138.265
Girl from the North Country,4ijw7fy7LDYMZDqt6SGWIB,51,222266,The Essential Johnny Cash,4E2eUhFHqTG2pu9MN1NDIF,Bob Dylan,74ASZWbe4lXaubB36ztrGX,0.0317,0.3,1,0.116,7,0.607,-11.384,0.885,0.000796,0.323,118.511
Blowin' in the Wind,18GiV1BaXzPVYpp9rmOg0E,70,165426,The Freewheelin' Bob Dylan,0o1uFxZ1VTviqvNaYkTJek,Bob Dylan,74ASZWbe4lXaubB36ztrGX,0.0509,0.44,1,0.0605,2,0.38,-20.567,0.914,2.32e-05,0.0993,174.874
Rocket Man (I Think It's Going To Be A Long Long Time),2zvot9pY2FNl1E94kc4K8M,29,281613,Honky Chateau (Remastered),46g6b33tbttcPtzbwzBoG6,Elton John,3PhoLpVuITZKcymswpck5b,0.0286,0.341,1,0.0925,10,0.601,-9.119,0.432,6.25e-06,0.532,136.571
Feeling Good,61S0mEfdRtJ62Fc7fPqx0U,22,174000,I Put A Spell On You,13jolTb1DQl8IVPczYtQJ3,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,0.0386,0.546,0,0.191,7,0.399,-9.239,0.864,0.0,0.326,79.206
Blues Run the Game - 2001 Remaster,51QHQSU5C4WE7KqoqeNOCM,57,211986,Jackson C. Frank (2001 Remastered Version),07gXWexIqgcoBg01fFgU8Y,Jackson C. Frank,5TNmizItgJPfvCoPKXAMGz,0.0309,0.413,1,0.102,1,0.374,-13.921,0.951,0.00349,0.121,166.212
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,80,174960,Goodbyes (Feat. Young Thug),4FFBjcmX06VmazABtpRMyv,Post Malone,246dkjvS1zLTtiykXe5h60,0.0745,0.175,1,0.111,5,0.58,-3.818,0.447,0.0,0.653,150.231
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,65,157066,Old Town Road,38kpkGLuPr1nNfD3iEyOlJ,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,0.102,0.639,1,0.113,6,0.878,-5.56,0.0533,0.0,0.619,136.041
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,91,158040,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),35s58BRTGAEWztPo9WqCIs,Post Malone,246dkjvS1zLTtiykXe5h60,0.0466,0.913,1,0.0703,2,0.76,-5.574,0.556,0.0,0.479,89.911
Take Me To Church,0IqKeD8ZSP72KbGYyzEcAs,15,241688,Hozier,36k5aXpxffjVGcNce12GLZ,Hozier,2FXC3k01G6Gw61bmprjgqS,0.0464,0.437,0,0.116,4,0.566,-5.303,0.634,0.0,0.664,128.945
Million Reasons,7dZ1Odmx9jWIweQSatnRqo,81,205280,Joanne (Deluxe),2ZUwFxlWo0gwTsvZ6L4Meh,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,0.0444,0.134,1,0.107,0,0.665,-7.838,0.437,0.0,0.424,129.911
