name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Saci,0JODkg3g4Pn6MgeNyaARlF,47,177773,O Futuro Não Demora,195RDcBkD9dUqWBO75eCgQ,BaianaSystem,5JHYuwE2n7bleXMUsmtCW5,0.103,0.683,1,0.172,7,0.799,-6.306,0.204,0.0,0.844,131.025
Banho de Piscina,07kheaZYNntb1toMYiZK4O,37,202213,Problema Meu,0IBlkonuP9NcFl5lSYZj2q,Clarice Falcão,1wFTlPjO7zRtvylmu5pm1d,0.0326,0.7,0,0.0736,9,0.653,-5.103,0.263,0.0,0.707,126.034
Você Não Presta,253rM8bzLuRZSH8N5Z3yox,52,235128,Vem,5rCOOZsVbPWwuAVKrA5Xug,Mallu Magalhães,1m00QT2CkW6rHi4dly8rVN,0.0667,0.825,0,0.114,10,0.604,-6.596,0.184,1.09e-06,0.658,168.12
O Baile de Betinha,4aYvf6sss8oMFBfPt4vobj,41,240026,Carnaval no Inferno,1qszO8u8B0lDg4PMGY5Scy,Banda Eddie,60nL5yXKnZlC4wheEmmBoO,0.0974,0.944,1,0.0727,9,0.626,-7.925,0.0801,1.18e-05,0.854,174.65
Sublime,4eSjkLKo82UM5sQEwA72jw,38,283137,A Pele do Futuro,1K9kdxE8GhOHuOnFYxoBco,Gal Costa,1b8kpp4DUwt1hWaxTiWQhD,0.0293,0.759,1,0.122,5,0.694,-9.437,0.0176,7.88e-06,0.703,126.037
O Ficar e o Ir da Gente,6xqdwJMABha0JKNDXAc7gC,44,198493,A Última Palavra Feche a Porta,2E9VQ5EW1vSPOTuWvmJ2JS,Plutão Já Foi Planeta,2Q9b1jENJLIp5qlPclJpbV,0.0371,0.548,0,0.175,0,0.636,-5.739,0.109,0.000104,0.736,134.94
O Paulista,6STGMDRzIe8eENdjlUMSNb,39,227775,10% Alien,2mVs1yaymPdysE6v0BJ1fg,Codinome Winchester,0oxzuDPaVqVeGDKQfp36QZ,0.0473,0.683,1,0.101,3,0.621,-3.919,0.00285,0.0,0.883,131.056
Eu Vim Passear,5eOLZh5Hdn7cQUwxQmIC3n,41,201506,Maravilhas da Vida Moderna,5x6uNZEzkJ78HK4Tg5UvKU,Dingo Bells,3pnpaEYzaDj5zJluhXbVrG,0.0435,0.8,1,0.23,11,0.696,-8.264,0.274,0.00143,0.608,122.824
Só + 6,4qQcp2MPEHW0FLPVlcnoVS,36,237000,Tem Conserto,3BadtozmDwX3iQUSEhnM4N,Clarice Falcão,1wFTlPjO7zRtvylmu5pm1d,0.0308,0.191,1,0.104,1,0.704,-7.03,0.104,0.343,0.696,130.029
Bédi Beat,7qaYhfTkekBcIm8q9Mewjd,60,200325,Sinto Muito,5fu7gooH6bp15cPuYGfGvx,DUDA BEAT,2QLSJqqGIstNbO6nYRR16o,0.0353,0.815,0,0.43,5,0.76,-7.159,0.00538,0.00582,0.756,130.0
Festa do Tubarão,6jbAJcMYNBXw00cbIVL4S2,22,202973,Rebujo,6z6Ap5lqHAIwgLJPv2HKu7,Dona Onete,5A70LBFCFtNwOmbPj5g5uc,0.0851,0.959,1,0.0799,10,0.801,-10.7,0.185,1.58e-06,0.799,144.924
