name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Motions,5p1PQOz5uCa2oMRKkX0oKI,36,180000,Skeletons,6uc6QxoKV2rtCssHIH4BQe,Driveways,4OuSiJSnuRsK0dTM0dtm1R,0.109,0.534,0,0.137,3,0.485,-6.169,0.00153,0.0,0.977,138.967
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,3vQhEd4lOg4mAV6CHCgoHW,72,173454,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],05Bru0ZVTxp4orAyrZIA77,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.0404,0.491,1,0.335,5,0.789,-4.388,0.22,4.58e-05,0.858,110.012
Nostalgia,2VEwYtDHSemqPhMOGixhPg,31,242800,Mr. Pain,3Q89u9avFB7FjtWej4OV30,Dayshell,4yextvMjXxQXzyQkyS1jYX,0.03,0.597,1,0.291,1,0.502,-3.299,0.000312,0.0,0.891,98.998
I Am Right Here,7zNeY0ErGBjJfJJYiuP7ZI,38,207098,I Am Right Here,6MT1pAknLv9mEeQPxMT9GE,Mest,1ToMIJExb7R5Klsff81NsK,0.0612,0.757,1,0.142,4,0.474,-8.845,0.00064,3.85e-06,0.891,179.974
Light It Up,4cD1qHGxY3LcXy0zIPS2S4,44,226800,Screamer,7ifGGvsPRtSK6SabsgF56Y,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,0.0321,0.211,1,0.0831,5,0.395,-7.221,0.0382,8.43e-05,0.547,178.109
Wildfire,2rLS9MK7K2PJ7NQfU3V7mE,31,230927,Broken,0D2BpHMH06GOwi71BvPlUB,Cory Wells,4iLkUR4VnW577DOxOYjxwG,0.026,0.431,0,0.146,10,0.609,-6.163,0.000365,0.103,0.782,101.98
Dying to Leave,2Xp7b8CxSv8aKIYvZ97SGx,21,188200,Dying to Leave,7j1OLaLc6rOj3KkDfIaiDw,Outloved,1zsGwHTBAXXWKOnUaKGrhd,0.0347,0.113,0,0.102,2,0.513,-5.781,0.0401,5.03e-05,0.752,125.083
"Young, Beautiful & Broke",6uvXfUJ9S46sciSxqgKWk9,37,180214,"Young, Beautiful & Broke",71Ct8ZwlXSQRHXbq6gJa7u,Red City Radio,6SSXfZGnJaNajWRPGHq4JL,0.0356,0.842,1,0.12,9,0.545,-8.498,1.16e-05,0.714,0.831,139.979
Hate Conquers All,4aeS8uzdE2lHU6sGpwWTjH,54,166893,Hate Conquers All,4g9gjhN0ifqJkq1ZMMidX0,Anti-Flag,30sqtiTKIb1oDve0SdYayT,0.089,0.389,0,0.668,11,0.582,-5.95,0.00016,0.0,0.945,123.041
Thank God It's Friday (Acoustic feat. Ari Lehman),3wZQvO101MFYeol9GWICmL,45,227393,The Silver Scream (FINAL CUT),7JHuopZAKDulAbpg61Yjzm,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,0.0409,0.461,0,0.368,1,0.516,-6.739,0.623,0.0,0.478,72.292
Arabesque,5dIjSE3als5cU6t1kiNt5t,56,340280,Orphans / Arabesque,6DX4K0afv5l01Pf6lymJuB,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0.055,0.165,1,0.373,7,0.402,-7.734,0.000117,0.851,0.837,172.023
Restless Mind,46XCwODnnUVnc79F9wXCPw,46,190293,Kind (Deluxe),5eKfSbsVTRHvUI7r7DdyYR,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,0.0325,0.221,1,0.0862,0,0.508,-15.233,0.808,0.00384,0.204,92.993
